month,day,sunrise_raw,sunset_raw,daylength,daylength_difference,astronomical_twilight_start,astronomical_twilight_end,nautical_twilight_start,nautical_twilight_end,civil_twilight_start,civil_twilight_end,solar_noon_time,solar_noon_mil.mi
11,1,7:29 am ↑ (106°),6:39 pm ↑ (254°),11:10:20,−1:18,6:11 AM,7:57 PM,6:38 AM,7:30 PM,7:05 AM,7:03 PM,1:04 pm (49.8°),92.262
11,2,7:29 am ↑ (106°),6:38 pm ↑ (254°),11:09:02,−1:18,6:11 AM,7:56 PM,6:38 AM,7:29 PM,7:05 AM,7:02 PM,1:04 pm (49.4°),92.238
11,3,6:30 am ↑ (106°),5:38 pm ↑ (254°),11:07:45,−1:17,5:12 AM,6:56 PM,5:39 AM,6:29 PM,6:06 AM,6:01 PM,12:04 pm (49.1°),92.213
11,4,6:30 am ↑ (107°),5:37 pm ↑ (253°),11:06:28,−1:16,5:12 AM,6:55 PM,5:39 AM,6:28 PM,6:07 AM,6:01 PM,12:04 pm (48.8°),92.189
11,5,6:31 am ↑ (107°),5:36 pm ↑ (253°),11:05:13,−1:15,5:13 AM,6:55 PM,5:40 AM,6:28 PM,6:07 AM,6:00 PM,12:04 pm (48.5°),92.165
11,6,6:32 am ↑ (107°),5:36 pm ↑ (252°),11:03:58,−1:14,5:13 AM,6:54 PM,5:40 AM,6:27 PM,6:08 AM,6:00 PM,12:04 pm (48.2°),92.141
11,7,6:32 am ↑ (108°),5:35 pm ↑ (252°),11:02:44,−1:13,5:14 AM,6:54 PM,5:41 AM,6:27 PM,6:08 AM,5:59 PM,12:04 pm (47.9°),92.118
11,8,6:33 am ↑ (108°),5:35 pm ↑ (252°),11:01:31,−1:13,5:14 AM,6:53 PM,5:42 AM,6:26 PM,6:09 AM,5:59 PM,12:04 pm (47.6°),92.095
11,9,6:34 am ↑ (108°),5:34 pm ↑ (252°),11:00:19,−1:12,5:15 AM,6:53 PM,5:42 AM,6:26 PM,6:10 AM,5:58 PM,12:04 pm (47.3°),92.072
11,10,6:34 am ↑ (109°),5:34 pm ↑ (251°),10:59:08,−1:11,5:16 AM,6:52 PM,5:43 AM,6:25 PM,6:10 AM,5:58 PM,12:04 pm (47.0°),92.05
11,11,6:35 am ↑ (109°),5:33 pm ↑ (251°),10:57:58,−1:10,5:16 AM,6:52 PM,5:43 AM,6:25 PM,6:11 AM,5:57 PM,12:04 pm (46.8°),92.028
11,12,6:36 am ↑ (109°),5:33 pm ↑ (251°),10:56:49,−1:09,5:17 AM,6:52 PM,5:44 AM,6:24 PM,6:12 AM,5:57 PM,12:04 pm (46.5°),92.006
11,13,6:37 am ↑ (110°),5:32 pm ↑ (250°),10:55:41,−1:07,5:17 AM,6:51 PM,5:45 AM,6:24 PM,6:12 AM,5:56 PM,12:05 pm (46.2°),91.985
11,14,6:37 am ↑ (110°),5:32 pm ↑ (250°),10:54:34,−1:06,5:18 AM,6:51 PM,5:45 AM,6:24 PM,6:13 AM,5:56 PM,12:05 pm (46.0°),91.964
11,15,6:38 am ↑ (110°),5:31 pm ↑ (250°),10:53:28,−1:05,5:18 AM,6:51 PM,5:46 AM,6:23 PM,6:14 AM,5:56 PM,12:05 pm (45.7°),91.944
11,16,6:39 am ↑ (110°),5:31 pm ↑ (249°),10:52:24,−1:04,5:19 AM,6:51 PM,5:47 AM,6:23 PM,6:14 AM,5:55 PM,12:05 pm (45.5°),91.924
11,17,6:39 am ↑ (111°),5:31 pm ↑ (249°),10:51:20,−1:03,5:20 AM,6:50 PM,5:47 AM,6:23 PM,6:15 AM,5:55 PM,12:05 pm (45.2°),91.904
11,18,6:40 am ↑ (111°),5:30 pm ↑ (249°),10:50:18,−1:01,5:20 AM,6:50 PM,5:48 AM,6:23 PM,6:16 AM,5:55 PM,12:05 pm (45.0°),91.885
11,19,6:41 am ↑ (111°),5:30 pm ↑ (249°),10:49:18,−1:00,5:21 AM,6:50 PM,5:48 AM,6:23 PM,6:16 AM,5:55 PM,12:06 pm (44.7°),91.866
11,20,6:42 am ↑ (112°),5:30 pm ↑ (248°),10:48:18,−0:59,5:22 AM,6:50 PM,5:49 AM,6:22 PM,6:17 AM,5:54 PM,12:06 pm (44.5°),91.847
11,21,6:42 am ↑ (112°),5:30 pm ↑ (248°),10:47:20,−0:57,5:22 AM,6:50 PM,5:50 AM,6:22 PM,6:18 AM,5:54 PM,12:06 pm (44.3°),91.829
11,22,6:43 am ↑ (112°),5:29 pm ↑ (248°),10:46:24,−0:56,5:23 AM,6:50 PM,5:50 AM,6:22 PM,6:19 AM,5:54 PM,12:06 pm (44.1°),91.811
11,23,6:44 am ↑ (112°),5:29 pm ↑ (248°),10:45:29,−0:55,5:23 AM,6:50 PM,5:51 AM,6:22 PM,6:19 AM,5:54 PM,12:07 pm (43.9°),91.793
11,24,6:45 am ↑ (112°),5:29 pm ↑ (247°),10:44:35,−0:53,5:24 AM,6:50 PM,5:52 AM,6:22 PM,6:20 AM,5:54 PM,12:07 pm (43.7°),91.776
